ID,calorie,water,carbohydrate,fiber,sugar,protein,fat,sfat,cholesterol,sodium,potassium,calcium,vit_A,vit_C,vit_D,vit_E,vit_K,vit_B6,vit_B12,thiamin,riboflavin,niacin,iron,folat,pantotenik,fosfor,magnesium,cinko,copper,selenium,manganese,Class
719,884,0,0,0,0,0,100,13,0,0.0,0.0,0.0,0.0,0,0.0,41.08,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bitkisel
720,350,31.78,41.72,2.5,3.69,835.999.999,16.61,5.281,0,544.0,103.0,27.0,44.0,0.2,9.0,1.18,29.5,83,0.08,462,184,4.142,03.05,186,0.66,87,23,0.87,108,16.6,441,Bitkisel
721,195.16,66.37,6.33,0.53,0.69,13.29,12.64,4.94,73.34,194.43,175.46,35.75,2304.82,1.23,10.88,0.27,1.12,0.08,1.46,0.11,0.19,3.29,1.39,27.21,0.5,130.3,15.87,2.91,0.07,16.52,0.09,Mix
722,21.2,94.65,2.69,0.91,0.84,0.98,01.01,0.22,0.56,129.78,108.36,26.36,469.8,27.68,0.12,0.35,31.58,0.06,0.01,0.02,0.04,0,0.24,20.46,0.18,23.43,7.3,0.15,0.01,0.82,0.08,Mix
723,165,652.600.000,0,0,0,31.02,3.57,01.01,85,74.0,256.0,15.0,21.0,0,5.0,0.27,0.3,60.000.000,0.34,7.000.000,114,13.712,01.04,4,965,228,29,1,49,27.6,17,Hayvansal
724,158,62.13,30.86,1.8,56.000.000,5.8,0.93,176,0,1.0,44.0,7.0,0.0,0,0.0,0.06,0,49,0,0.02,0.02,0.4,1.28,7,112,58,18,0.51,0.1,26.4,322,Bitkisel
725,57,842.900.000,13.93,3.9,0,81.000.000,0.47,0,0,1.0,203.0,37.0,67.0,6.5,0.0,0,0,0,0,0,1.5,0,0.26,2,0,24,14,0.11,119,0,1.973,Bitkisel
726,86,80.58,3.69,0,0,11.9,2.24,425,28,286.0,320.0,26.0,160.0,8,0.0,0.55,0.1,0.05,12,0.16,0.21,1.6,3.95,42,0.5,197,34,1.6,94,44.8,3.4,Hayvansal
727,336.78,40.97,18.11,1.33,2.59,15.63,22.51,5.8,28.88,643.72,146.61,275.0,2808.89,5.38,11.66,0.31,02.02,0.09,0.65,0.19,0.22,2.77,1.41,30.78,0.17,271.34,27.33,1.89,0.07,16.95,0.41,Mix
728,261.4,36.05,49.73,1.67,27.83,7.54,3.87,1.37,122.12,414.95,128.97,132.26,121.48,0.08,29.98,0.36,0.25,0.07,0.32,0.21,0.31,1.61,2.31,63.29,0.65,155.5,24.49,0.81,0.16,19.4,0.28,Mix
729,18,940.999.999,1.92,1.6,0.32,2.95,0.42,96,0,3.0,172.0,18.0,806.0,24.4,0.0,1.2,80,0.02,0,65,103,1.038,56.000.000,135,158,49,10,0.41,105,3.9,0.14,Bitkisel
730,381,37.04,3.14,0,0.14,26.03,29.03,0,0,968.0,75.0,715.0,0.0,0,30.0,0,2.8,75,1.22,0.05,0.62,175,0.26,Mikrogram,0,556,27,3.84,0,4.7,0,Hayvansal
